,Pos,Name,Gun Time,Net Time,Representing,Category (Pos),Overall Pos,Unnamed: 7,Links,Speed_5km,Speed_10km,Speed_15km,Speed_20km,Speed_25km,Speed_30km,Speed_35km,Speed_40km,COV
2431,5274,Sanjay Mundhra (#11941),06:49:32,06:11:26,SGP  |,50-59  (869),6417,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/11941?page=106 ,443.2,495.8,506.2,578.6,619.8,530.0,555.2,507.4,0.09639
2432,5275,CHAI MIN HENG (#8956),06:49:33,06:26:02,SGP  |,70+  (4),6419,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/8956?page=106 ,463.4,513.0,520.0,531.2,562.4,582.8,612.4,624.8,0.09256
2433,5276,Tang Jia Heng Kerwin (#7327),06:49:33,06:33:42,SGP  |,20-29  (782),6420,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/7327?page=106 ,416.4,415.0,507.0,492.2,599.0,711.4,741.6,604.8,0.20759
2434,5277,Lim Chin Siong (#4033),06:49:34,06:43:39,SGP  |,40-49  (1758),6423,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/4033?page=106 ,434.2,454.2,463.8,491.2,620.8,668.4,694.6,687.6,0.18868
2435,5280,Teng Young Leong (#11418),06:49:36,06:14:33,SGP  |,40-49  (1759),6426,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/11418?page=106 ,427.8,467.4,511.2,517.0,560.2,617.8,628.6,555.4,0.12101
2436,5281,Desmond Huang (#11157),06:49:38,06:24:21,SGP  |,30-39  (1710),6427,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/11157?page=106 ,393.4,404.4,453.0,523.2,669.8,599.8,605.6,713.8,0.20748
2437,5286,Daniel Tan (#12564),06:49:50,06:13:12,SGP  |,50-59  (871),6433,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/12564?page=106 ,450.4,466.6,450.0,540.2,630.0,531.2,614.8,570.4,0.12557
2438,5287,Nicholas Neo T T (#11380),06:49:50,06:02:32,SGP  |,50-59  (872),6434,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/11380?page=106 ,447.4,461.0,480.8,476.6,535.4,535.4,562.0,627.4,0.11011
2439,5288,Boon Swee See (#14551),06:49:52,06:02:07,SGP  |,50-59  (873),6436,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/14551?page=106 ,403.2,425.8,511.4,515.6,509.0,513.2,595.6,618.8,0.13416
2440,5291,Calven Goh (#15729),06:49:53,06:02:43,SGP  |,20-29  (784),6439,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/15729?page=106 ,379.4,399.2,414.2,485.6,595.2,595.2,705.0,583.2,0.21111
2441,5292,Kleeve Hoi (#15730),06:49:53,06:02:42,SGP  |,20-29  (785),6440,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/15730?page=106 ,379.2,399.4,414.4,485.6,594.8,594.8,705.6,583.0,0.21116
2442,5293,Wei Khim Kung (#11972),06:49:55,06:00:11,SGP  |,40-49  (1762),6441,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/11972?page=106 ,423.4,437.4,471.0,498.0,563.2,577.8,562.0,569.0,0.11536
2443,5295,Tay Chye Lee Richard (#12774),06:49:59,06:13:26,SGP  |,40-49  (1764),6443,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/12774?page=106 ,417.4,425.0,497.2,498.2,585.4,579.2,634.4,606.2,0.14602
2444,5296,Lin Jim TAY (#14661),06:50:01,06:01:06,SGP  |,40-49  (1765),6444,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/14661?page=106 ,404.0,496.0,441.8,519.4,585.6,535.2,547.8,615.2,0.12673
2445,5297,PRADEEP NAIK (#9420),06:50:02,06:27:50,SGP  |,40-49  (1766),6445,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/9420?page=106 ,421.4,488.6,519.2,530.8,552.0,552.0,660.8,667.8,0.14075
2446,5298,Subramaniam Narayanasamy (#12085),06:50:04,06:10:04,SGP  |,40-49  (1767),6446,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/12085?page=106 ,437.6,479.8,532.8,498.8,511.8,511.8,643.8,547.0,0.10786
2447,5299,Norjihan Norman (#3849),06:50:05,06:35:39,SGP  |,20-29  (786),6447,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/3849?page=106 ,395.2,427.8,478.6,519.2,606.0,681.6,754.2,688.6,0.21835
2448,5300,ERIC SUITAK / CHOW (#11499),06:50:05,06:15:03,SGP  |,50-59  (875),6448,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/11499?page=106 ,392.8,414.8,482.8,489.6,516.2,629.8,598.8,731.6,0.20095
2449,5302,Yap Saijie (#4178),06:50:09,06:45:05,SGP  |,20-29  (787),6452,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/4178?page=107 ,402.8,440.4,485.4,501.6,708.8,681.6,755.4,686.4,0.22283
2450,5304,CHEK TOG (#9093),06:50:11,06:50:11,SGP  |,50-59  (876),6454,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/9093?page=107 ,756.6,465.4,474.0,476.8,499.4,586.6,739.0,672.6,0.19762
2451,5308,YEW TECK SEE (#11523),06:50:19,06:13:21,SGP  |,30-39  (1715),6463,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/11523?page=107 ,441.0,517.2,550.0,532.4,548.6,545.0,564.4,562.2,0.07034
2452,5311,Wei Min Chia (#14476),06:50:28,06:03:11,SGP  |,40-49  (1771),6468,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/14476?page=107 ,408.2,433.4,441.6,476.8,508.2,533.4,643.6,646.2,0.16784
2453,5312,Ron Zheng (#11332),06:50:29,06:13:20,SGP  |,30-39  (1718),6469,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/11332?page=107 ,423.6,434.2,457.2,497.6,553.8,558.6,620.4,668.2,0.15802
2454,5313,Umar Faridz (#3946),06:50:30,06:33:23,SGP  |,30-39  (1719),6470,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/3946?page=107 ,384.2,401.0,434.0,448.8,555.2,726.2,635.0,842.2,0.28359
2455,5314,HIANG KIAT LIM (#14612),06:50:31,06:00:36,SGP  |,40-49  (1772),6471,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/14612?page=107 ,438.2,437.4,483.8,537.6,537.4,581.2,570.6,538.6,0.10155
2456,5315,Edmund Weizhi Toh (#15734),06:50:32,06:02:31,SGP  |,20-29  (788),6472,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/15734?page=107 ,408.4,493.6,500.8,496.0,539.4,547.4,560.2,574.0,0.096
2457,5316,Min Lin (#8038),06:50:34,06:26:00,SGP  |,30-39  (1720),6473,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/8038?page=107 ,414.0,471.0,517.6,570.6,564.4,600.0,624.6,651.6,0.13561
